kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A10024328,,,,,,,,,,pending,unknown,동대신역비스타동원아파트
A10024875,,,,,,,,,,pending,unknown,동대신동 브라운스톤하이포레아파트
A10026034,,,,,,,,,,pending,unknown,대신푸르지오아파트
A10023704,,,,,,,,,,pending,unknown,대신해모로센트럴아파트
A10024535,,,,,,,,,,pending,unknown,대신2차푸르지오
A10028182,,,,,,,,,,pending,unknown,대신롯데캐슬아파트
A60275104,,,,,,,,,,pending,unknown,남성한빛아파트
A60270501,,,,,,,,,,pending,unknown,부민e-편한세상아파트
A10022985,,,,,,,,,,pending,unknown,경동포레스트힐 행복주택 아미
A60275201,,,,,,,,,,pending,unknown,남부민풀리페
A10022434,,,,,,,,,,pending,unknown,e편한세상 송도 더퍼스트비치
A10023790,,,,,,,,,,pending,unknown,힐스테이트이진베이시티
A10024998,,,,,,,,,,pending,unknown,범양레우스 센트럴베이
A10025359,,,,,,,,,,pending,unknown,e편한세상부산항
A10025380,,,,,,,,,,pending,unknown,협성휴포레부산진역오션뷰아파트
A10023963,,,,,,,,,,pending,unknown,부산항일동미라주더오션아파트
A10023208,,,,,,,,,,pending,unknown,두산위브더제니스 하버시티
A10026746,,,,,,,,,,pending,unknown,오션브릿지
A60106001,,,,,,,,,,pending,unknown,한성기린프라자
A60106002,,,,,,,,,,pending,unknown,두산위브포세이돈Ⅱ
A60681702,,,,,,,,,,pending,unknown,영선동반도보라아파트
A60675801,,,,,,,,,,pending,unknown,미광마린타워아파트
A10024303,,,,,,,,,,pending,unknown,영도 센트럴 에일린의뜰
A60607003,,,,,,,,,,pending,unknown,신영도롯데낙천대
A60607004,,,,,,,,,,pending,unknown,청학영도신도브래뉴
A10022267,,,,,,,,,,pending,unknown,오션라이프에일린의 뜰
A10023837,,,,,,,,,,pending,unknown,부산오션시티푸르지오
A60608002,,,,,,,,,,pending,unknown,조양비취맨션
A60608303,,,,,,,,,,pending,unknown,동삼그린힐
A60670101,,,,,,,,,,pending,unknown,도시공사동삼2지구영구임대아파트
A60675110,,,,,,,,,,pending,unknown,함지그린
A60676104,,,,,,,,,,pending,unknown,부산동삼1
A60676205,,,,,,,,,,pending,unknown,부산동삼2주공
A60680909,,,,,,,,,,pending,unknown,국제마마뉴비치
A60680912,,,,,,,,,,pending,unknown,절영아파트
A10020870,,,,,,,,,,pending,unknown,양정자이더샵SKVIEW
A10023040,,,,,,,,,,pending,unknown,양정 포레힐즈 스위첸
A61475403,,,,,,,,,,pending,unknown,양정현대1차아파트
A61479104,,,,,,,,,,pending,unknown,양정현대2차아파트
A61479902,,,,,,,,,,pending,unknown,대원칸타빌멤버스
A10023625,,,,,,,,,,pending,unknown,e편한세상 시민공원 아파트
A10024602,,,,,,,,,,pending,unknown,서면아이파크아파트
