internal_complex_id,complex_name,sigungu,dong,jibun,sido,region_code,region_key,region_name,region_level_1,region_level_2,market_area,is_busan,is_satellite,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag
A10020004,롯데캐슬인피니엘,남구,문현동,1257,부산광역시,26290,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,715.0,2026-06-24,0,,,26.0,26.0,26.0,2,35.1343507743393,129.073252007688,부산광역시 남구 지게골로 102,True,0.03636363636363636,690000000.0,26803245.111380022,,,,690000000.0,0.0,690000000.0,0.0,1.0,True
A10020018,삼창,금정구,남산동,3-1,부산광역시,26410,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,415.0,2026-06-19,0,,,0.0,0.0,0.0,2,35.2583164349779,129.092777843633,부산광역시 금정구 금단로 105,True,0.0,,,,,,,,,,,
A10020029,한독,연제구,연산동,1873-30,부산광역시,26470,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,150.0,1979-03-23,47,86.0,0.5733333333333334,0.0,0.0,3.0,3,35.1728832483228,129.089548068769,부산광역시 연제구 봉수로 15,True,0.02,,,,,-0.0505050505050505,410000000.0,-0.5414634146341464,185000000.0,0.016216216216216273,0.0,True
A10020042,중앙하이츠더힐,사하구,신평동,444-1,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,185.0,2024-12-17,1,250.0,1.3513513513513513,4.0,10.0,18.0,3,35.0987098656455,128.963858182934,부산광역시 사하구 비봉로 77,True,0.0972972972972973,,,,0.006322214955308381,,461600000.0,0.0,458700000.0,0.006322214955308381,1.0,True
A10020083,반도보라맨션,남구,대연동,455-25,부산광역시,26290,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,367.0,2026-04-22,0,388.0,1.0572207084468666,0.0,0.0,0.0,4,35.1369445920905,129.105954431149,부산광역시 남구 황령대로492번길 35,True,0.0,,,,,,855000000.0,-0.0444444444444444,407000000.0,1.0073710073710074,0.0,True
A10020156,연지우성스마트시티뷰,부산진구,연지동,42-4,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,116.0,2020-05-29,6,,,1.0,1.0,2.0,2,35.1712258960578,129.056696370526,부산광역시 부산진구 동평로 269,True,0.017241379310344827,449000000.0,17435046.597006496,,-0.0022222222222222365,-0.028108108108108154,480000000.0,-0.06458333333333333,360000000.0,0.24722222222222223,1.0,True
A10020161,조성하이츠,사하구,다대동,1548-15,부산광역시,26380,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,132.0,1995-10-20,30,129.0,0.9772727272727273,1.0,2.0,5.0,1,35.0510241096984,128.965568505012,부산광역시 사하구 다대낙조2길 7,True,0.03787878787878788,225000000.0,8739406.779661017,-0.08163265306122447,0.05027932960893855,-0.08770161290322576,285000000.0,-0.21052631578947367,194000000.0,0.1597938144329898,2.0,True
A10020162,성림누리아라,북구,구포동,1294,부산광역시,26320,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,114.0,2007-12-10,18,116.0,1.0175438596491229,2.0,3.0,3.0,2,35.1982818958006,128.994598448858,부산광역시 북구 구남로 9,True,0.02631578947368421,294500000.0,11463212.388785549,-0.06507936507936507,,-0.0659003831417625,327000000.0,-0.09938837920489296,275000000.0,0.07090909090909081,3.0,False
A10020194,성원상떼빌,수영구,광안동,143-1,부산광역시,26500,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,165.0,2007-04-27,19,268.0,1.6242424242424243,1.0,1.0,3.0,2,35.1574319393608,129.113586571518,부산광역시 수영구 수영로582번길 10,True,0.01818181818181818,,,,,,,,,,,
A10020213,가야역롯데캐슬스카이엘,부산진구,가야동,702,부산광역시,26230,busan,부산,BUSAN,부산광역시,BUSAN_CORE,True,False,725.0,2026-01-22,0,826.0,1.1393103448275863,1.0,1.0,1.0,1,35.1565193801508,129.04401214104,부산광역시 부산진구 가야대로 661,True,0.001379310344827586,,,,,,,,,,,
