internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,previous_6m_transactions,volume_increasing,trend_stabilizing,watch_label
A10020732,구서벽산메가트리움,금정구,구서동,126.0,2004-10-28,21,136.0,1.0793650793650793,1.0,6.0,7.0,3,35.2437215003698,129.091371509773,부산광역시 금정구 부곡온천천로 206,True,0.05555555555555555,247000000.0,9641133.610900832,-0.027559055118110187,-0.05471698113207546,-0.055762081784386575,305000000.0,-0.19016393442622948,247000000.0,0.0,3.0,False,1.0,True,True,시장회복 관찰대상
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,2025-02-06,1,2387.0,1.0874715261958998,18.0,42.0,71.0,4,35.1705243127939,129.035161562272,부산광역시 부산진구 백양순환로 75,True,0.03234624145785877,562500000.0,21889740.566037733,-0.030172413793103425,-0.06175869120654398,-0.0204770952079375,629500000.0,-0.11834789515488486,555000000.0,0.0,19.0,False,29.0,True,True,시장회복 관찰대상
A10022868,테넌바움294,수영구,민락동,294.0,2023-11-27,2,368.0,1.251700680272109,16.0,49.0,81.0,1,35.1569571883719,129.129031951673,부산광역시 수영구 광안해변로 323,True,0.2755102040816326,1135000000.0,44215232.345409736,0.022522522522522515,-0.1082423038728898,-0.0020661157024793875,1515000000.0,-0.19801980198019797,985000000.0,0.23350253807106602,49.0,False,32.0,True,True,시장회복 관찰대상
A10023725,백양산베스티움에코포레,북구,만덕동,593.0,2022-04-25,4,597.0,1.0067453625632379,6.0,13.0,20.0,2,35.2071617886075,129.043239180592,부산광역시 북구 상리로 86,True,0.03372681281618887,311750000.0,12109746.063471772,-0.025781249999999978,-0.05970149253731338,0.027732463295269127,360000000.0,-0.12777777777777777,268000000.0,0.17164179104477606,8.0,False,7.0,True,True,시장회복 관찰대상
A10024393,초량베스티움센트럴베이,동구,초량동,449.0,2021-08-26,5,513.0,1.1425389755011135,3.0,10.0,17.0,3,35.1244037750158,129.038362454203,부산광역시 동구 홍곡로 37,True,0.0378619153674833,559500000.0,21731224.179937147,-0.0008928571428571397,-0.02183406113537123,0.02752293577981657,778000000.0,-0.30719794344473006,508000000.0,0.061023622047243986,3.0,False,7.0,True,True,시장회복 관찰대상
A10024695,광안하이아파트,수영구,광안동,971.0,2020-08-06,6,1107.0,1.1400617919670444,13.0,28.0,54.0,5,35.1552831735431,129.109801726186,부산광역시 수영구 호암로29번길 50,True,0.055612770339855816,1050000000.0,41015625.0,0.04477611940298498,0.11357340720221609,0.11954022988505741,1445000000.0,-0.370242214532872,297000000.0,2.063973063973064,16.0,False,26.0,True,True,시장회복 관찰대상
A10025075,e편한세상오션테라스3단지,수영구,민락동,1038.0,2020-01-16,6,1448.0,1.394990366088632,6.0,24.0,42.0,3,35.1560922571174,129.128683849328,부산광역시 수영구 광안해변로326번길 10,True,0.04046242774566474,822500000.0,31959612.610756233,0.11601085481682505,0.06873315363881405,0.09879175550817343,1450000000.0,-0.3655172413793103,468330000.0,0.9644267930732604,14.0,False,18.0,True,True,시장회복 관찰대상
A10026994,거제동2차월드메르디앙,연제구,거제동,142.0,2007-08-02,19,195.0,1.3732394366197183,2.0,5.0,7.0,2,35.1934740331339,129.080042153189,부산광역시 연제구 중앙대로 1188,True,0.04929577464788732,510000000.0,19812750.08740919,0.00591715976331364,0.17241379310344818,0.06304347826086953,570000000.0,-0.10526315789473684,400000000.0,0.2749999999999999,4.0,False,2.0,True,True,시장회복 관찰대상
A10027026,지사과학삼정그린코아,강서구,지사동,1013.0,2017-04-27,9,1056.0,1.0424481737413622,7.0,20.0,35.0,3,35.1518194278834,128.839600768448,부산광역시 강서구 과학산단2로20번길 91,True,0.034550839091806514,197500000.0,8012899.323314187,-0.007537688442211032,-0.07476635514018692,-0.05660377358490565,269000000.0,-0.26579925650557623,175000000.0,0.12857142857142856,3.0,False,15.0,True,True,시장회복 관찰대상
A10027330,신평삼한사랑채,사하구,신평동,298.0,2016-10-14,9,318.0,1.0671140939597314,2.0,12.0,17.0,1,35.0928690533026,128.966178084918,부산광역시 사하구 신산북로 5,True,0.05704697986577181,265000000.0,10291443.803068014,0.033138401559454245,-0.07233273056057865,-0.023020257826887658,310000000.0,-0.1806451612903226,233000000.0,0.09012875536480691,12.0,False,5.0,True,True,시장회복 관찰대상
A10027581,명지대방노블랜드오션뷰2차,강서구,명지동,600.0,2016-04-29,10,688.0,1.1466666666666667,4.0,16.0,31.0,1,35.0953281798622,128.91917534047,부산광역시 강서구 명지국제5로 11,True,0.051666666666666666,502500000.0,19509167.808843683,0.046875,-0.030436917034855182,0.0025062656641603454,800000000.0,-0.39375000000000004,400000000.0,0.2124999999999999,16.0,False,15.0,True,True,시장회복 관찰대상
A10027621,명지2차금강펜테리움센트럴파크,강서구,명지동,670.0,2016-03-25,10,740.0,1.1044776119402986,10.0,23.0,40.0,2,35.1042150316068,128.919193763803,부산광역시 강서구 명지국제5로 109,True,0.05970149253731343,393750000.0,15422610.689686686,0.03618421052631571,-0.023899371069182385,-0.08274231678486998,563500000.0,-0.2972493345164152,328000000.0,0.20731707317073167,14.0,False,17.0,True,True,시장회복 관찰대상
A10027832,백양디이스트(1단지),북구,만덕동,3790.0,2015-10-21,10,3478.0,0.9176781002638522,42.0,80.0,155.0,4,35.2058687951711,129.033190025409,부산광역시 북구 덕천로276번길 60,True,0.040897097625329816,330000000.0,12813076.161913043,-0.04347826086956519,-0.02737752161383289,0.006574141709276837,430000000.0,-0.2558139534883721,274750000.0,0.16469517743403084,45.0,False,75.0,True,True,시장회복 관찰대상
A60101001,센트럴베이동원로얄듀크비스타,동구,초량동,270.0,2011-06-16,15,275.0,1.0185185185185186,1.0,3.0,4.0,1,35.1213977977104,129.044734083364,부산광역시 동구 중앙대로286번길 10,True,0.014814814814814815,337000000.0,13085992.6574414,-0.026011560693641633,-0.05138888888888893,0.01764705882352935,500000000.0,-0.32599999999999996,300000000.0,0.1233333333333333,3.0,False,1.0,True,True,시장회복 관찰대상
A60105002,두산위브범일뉴타운,동구,좌천동,466.0,2006-06-27,20,453.0,0.9721030042918455,6.0,14.0,25.0,2,35.1322625319397,129.055439517713,부산광역시 동구 성남일로 5,True,0.0536480686695279,315000000.0,12230001.682434091,0.012048192771084265,0.0023866348448686736,-0.01945525291828798,480000000.0,-0.34375,265000000.0,0.18867924528301883,9.0,False,11.0,True,True,시장회복 관찰대상
A60405002,다대롯데캐슬블루,사하구,다대동,1326.0,2014-12-24,11,1761.0,1.3280542986425339,9.0,32.0,48.0,2,35.0660759887624,128.982821920306,부산광역시 사하구 다송로 23,True,0.03619909502262444,397500000.0,15438364.822066005,0.037859007832898195,-0.03343848580441644,0.03403141361256545,545000000.0,-0.3348623853211009,320000000.0,0.1328125,24.0,False,16.0,True,True,시장회복 관찰대상
A60473602,구평화신,사하구,구평동,496.0,1993-05-14,33,393.0,0.7923387096774194,2.0,9.0,13.0,2,35.086802317881,128.993009102991,부산광역시 사하구 사하로 47,True,0.02620967741935484,120000000.0,4661840.014126788,-0.15194346289752647,-0.14761904761904765,0.08015267175572527,188000000.0,-0.36170212765957444,120000000.0,0.0,7.0,False,4.0,True,True,시장회복 관찰대상
A60475710,삼환,사하구,다대동,1669.0,1996-09-13,30,1843.0,1.104254044337927,8.0,23.0,41.0,3,35.0617575665852,128.981626579868,부산광역시 사하구 다대로429번길 20,True,0.02456560814859197,226250000.0,8797278.190173205,-0.047368421052631615,-0.08333333333333337,-0.020000000000000018,356500000.0,-0.396914446002805,215000000.0,0.0,5.0,False,18.0,True,True,시장회복 관찰대상
A60481703,구평1차자유,사하구,구평동,584.0,1999-03-05,27,589.0,1.0085616438356164,2.0,9.0,16.0,3,35.0873937987817,128.984785017684,부산광역시 사하구 을숙도대로709번길 31,True,0.0273972602739726,148000000.0,5773049.645390071,0.010238907849829282,0.09629629629629632,-0.08414239482200647,173000000.0,-0.1445086705202312,108000000.0,0.37037037037037046,3.0,False,7.0,True,True,시장회복 관찰대상
A60482502,다대영동비치타워,사하구,다대동,280.0,2005-10-21,20,280.0,1.0,1.0,6.0,11.0,2,35.0563662151405,128.972028812912,부산광역시 사하구 다대동로 30,True,0.039285714285714285,239000000.0,9308391.360793106,0.10138248847926268,0.036363636363636376,-0.08333333333333337,280000000.0,-0.14642857142857146,200000000.0,0.19500000000000006,4.0,False,5.0,True,True,시장회복 관찰대상
A60607003,신영도롯데낙천대,영도구,청학동,528.0,2005-10-26,20,513.0,0.9715909090909091,5.0,9.0,12.0,4,35.088132811256,129.061865406657,부산광역시 영도구 청학남로 48,True,0.022727272727272728,202500000.0,7864540.426032718,0.1187845303867403,-0.04125000000000001,0.08843537414965996,260000000.0,-0.35769230769230764,160000000.0,0.043749999999999956,6.0,False,3.0,True,True,시장회복 관찰대상
A60607004,영도신도브래뉴,영도구,청학동,508.0,2009-07-30,17,573.0,1.1279527559055118,4.0,13.0,18.0,3,35.0980056587134,129.05634985643,부산광역시 영도구 태종로 260,True,0.03543307086614173,290000000.0,11263991.713845175,-0.03252710592160135,-0.04180064308681675,-0.03870967741935483,445000000.0,-0.348314606741573,278750000.0,0.04035874439461873,6.0,False,5.0,True,True,시장회복 관찰대상
A60777604,안락현대,동래구,안락동,738.0,2001-03-31,25,812.0,1.100271002710027,6.0,18.0,30.0,5,35.2005767533328,129.11375378447,부산광역시 동래구 삼어로 9,True,0.04065040650406504,346000000.0,13459860.898267122,0.024426350851221246,0.039453717754172946,-0.02124542124542128,445000000.0,-0.22247191011235956,288000000.0,0.20138888888888884,4.0,False,12.0,True,True,시장회복 관찰대상
A60780108,한일유앤아이,동래구,낙민동,935.0,2007-07-31,19,1318.0,1.409625668449198,10.0,16.0,30.0,4,35.1957851549524,129.092865300179,부산광역시 동래구 온천천로339번길 28,True,0.03208556149732621,471500000.0,18308438.86126323,-0.03083247687564239,-0.03880597014925369,0.0652173913043479,610000000.0,-0.22786885245901645,370000000.0,0.27297297297297307,7.0,False,14.0,True,True,시장회복 관찰대상
A60783402,신화타워,동래구,온천동,274.0,1999-03-19,27,169.0,0.6167883211678832,2.0,7.0,9.0,2,35.2139908304623,129.079533969472,부산광역시 동래구 온천장로 20,True,0.032846715328467155,295000000.0,11490793.201133145,0.04982206405693956,-0.006734006734006703,0.07832422586520948,370000000.0,-0.20270270270270274,225000000.0,0.3111111111111111,4.0,False,2.0,True,True,시장회복 관찰대상
A60804002,문현동태영데시앙,남구,문현동,388.0,2006-07-28,20,431.0,1.1108247422680413,3.0,9.0,12.0,3,35.140789550594,129.067622898285,부산광역시 남구 전포대로 38,True,0.030927835051546393,415000000.0,16190833.115603374,0.13698630136986312,0.00911458333333326,-0.03396226415094339,530000000.0,-0.21698113207547165,330000000.0,0.25757575757575757,5.0,False,3.0,True,True,시장회복 관찰대상
A60809003,오륙도에스케이뷰,남구,용호동,3000.0,2008-10-31,17,5755.0,1.9183333333333332,16.0,46.0,88.0,3,35.1021956998737,129.116762696896,부산광역시 남구 오륙도로 85,True,0.029333333333333333,445000000.0,17283872.15230993,0.011363636363636465,0.020172910662824117,-0.06648936170212771,730000000.0,-0.44452054794520546,376000000.0,0.07845744680851063,19.0,False,42.0,True,True,시장회복 관찰대상
A60877302,자유1,남구,우암동,299.0,1991-12-10,34,233.0,0.7792642140468228,2.0,6.0,9.0,2,35.1260434945939,129.081586989914,부산광역시 남구 우암로154번길 57,True,0.030100334448160536,230000000.0,8931513.29724641,0.07226107226107237,,0.006666666666666599,267000000.0,-0.13857677902621723,191000000.0,0.20418848167539272,5.0,False,3.0,True,True,시장회복 관찰대상
A60880703,대연동원,남구,대연동,262.0,2002-04-04,24,288.0,1.099236641221374,3.0,6.0,11.0,2,35.1363435067411,129.095687658808,부산광역시 남구 수영로267번길 20,True,0.04198473282442748,443500000.0,17222753.734214976,0.0016939582156973998,0.055952380952380976,0.03427540589296463,569000000.0,-0.19683655536028122,350000000.0,0.3057142857142856,5.0,False,5.0,True,True,시장회복 관찰대상
A60880801,일동지에닌,남구,대연동,201.0,2006-01-13,20,241.0,1.199004975124378,2.0,5.0,8.0,2,35.1355049782132,129.089364912238,부산광역시 남구 수영로 209,True,0.03980099502487562,366500000.0,14239377.064350385,0.05164992826398862,-0.03260869565217395,0.005555555555555536,490000000.0,-0.21836734693877546,329000000.0,0.1641337386018238,5.0,False,3.0,True,True,시장회복 관찰대상
A60882701,보람더하임,남구,문현동,218.0,2006-04-12,20,235.0,1.0779816513761469,3.0,6.0,7.0,1,35.1382173886293,129.06720414758,부산광역시 남구 전포대로 17,True,0.03211009174311927,300000000.0,11647058.823529411,0.04166666666666674,0.03597122302158273,-0.030303030303030276,405000000.0,-0.2592592592592593,277000000.0,0.08303249097472931,6.0,False,1.0,True,True,시장회복 관찰대상
A60883003,신대연코오롱하늘채,남구,용당동,712.0,2007-03-28,19,902.0,1.2668539325842696,6.0,12.0,23.0,2,35.1224968312942,129.093613634617,부산광역시 남구 홍곡로320번길 132,True,0.032303370786516857,317500000.0,12376149.909991637,0.007936507936507908,-0.052631578947368474,-0.018587360594795488,440000000.0,-0.30681818181818177,268000000.0,0.13805970149253732,11.0,False,11.0,True,True,시장회복 관찰대상
A60975303,경남한신,금정구,부곡동,1408.0,1995-03-30,31,1341.0,0.9524147727272727,10.0,30.0,59.0,4,35.236865898024,129.089689808643,부산광역시 금정구 중앙대로1685번길 24,True,0.04190340909090909,349500000.0,13576809.888169512,-0.02781641168289295,-0.07942708333333337,-0.023468057366362483,535000000.0,-0.33271028037383177,330000000.0,0.08181818181818179,13.0,False,29.0,True,True,시장회복 관찰대상
A60976902,경동,금정구,청룡동,612.0,1997-10-25,28,685.0,1.119281045751634,4.0,7.0,13.0,3,35.2810265578512,129.086190756635,부산광역시 금정구 청룡예전로 74,True,0.021241830065359478,203000000.0,7916568.1871897895,-0.033333333333333326,-0.03755868544600938,-0.023809523809523836,319000000.0,-0.3573667711598746,200000000.0,0.02499999999999991,4.0,False,6.0,True,True,시장회복 관찰대상
A61175113,연산동한솔솔파크,연제구,연산동,165.0,2007-12-26,18,204.0,1.2363636363636363,2.0,4.0,7.0,3,35.1872885603013,129.103871324026,부산광역시 연제구 과정로 211,True,0.04242424242424243,345000000.0,13394558.882033957,0.0029069767441860517,0.10256410256410264,0.02109374999999991,385000000.0,-0.1428571428571429,265000000.0,0.24528301886792447,4.0,False,3.0,True,True,시장회복 관찰대상
A61175404,거제동롯데캐슬피렌체,연제구,거제동,364.0,2011-01-24,15,773.0,2.1236263736263736,2.0,11.0,19.0,2,35.1917419909489,129.068278343686,부산광역시 연제구 월드컵대로 266,True,0.0521978021978022,900000000.0,34962112.6062548,0.0027855153203342198,0.0044642857142858094,0.0843373493975903,1050000000.0,-0.1428571428571429,620000000.0,0.4516129032258065,3.0,False,8.0,True,True,시장회복 관찰대상
A61182002,연산쌍용,연제구,연산동,159.0,1999-10-16,26,156.0,0.9811320754716981,1.0,3.0,5.0,3,35.1871122906128,129.084471930317,부산광역시 연제구 고분로13번길 25,True,0.031446540880503145,325000000.0,12622101.918324113,0.040000000000000036,-0.044117647058823484,-0.09722222222222221,388000000.0,-0.16237113402061853,270000000.0,0.20370370370370372,3.0,False,2.0,True,True,시장회복 관찰대상
A61201003,해운대중동롯데캐슬마스터2,해운대구,중동,242.0,2007-10-23,18,323.0,1.334710743801653,2.0,4.0,5.0,2,35.1713537697364,129.172436675549,부산광역시 해운대구 좌동로63번길 46,True,0.02066115702479339,630000000.0,24463989.936435282,0.05351170568561869,-0.05970149253731338,-0.027027027027026973,800000000.0,-0.21250000000000002,525000000.0,0.19999999999999996,3.0,False,1.0,True,True,시장회복 관찰대상
A61202001,신동아,해운대구,우동,194.0,1991-08-21,35,146.0,0.7525773195876289,2.0,4.0,5.0,1,35.1629702712593,129.155018850314,부산광역시 해운대구 우동1로 9-28,True,0.02577319587628866,507000000.0,19741592.92035398,0.050777202072538774,0.008000000000000007,-0.015686274509803977,730000000.0,-0.3013698630136986,350000000.0,0.4571428571428571,4.0,False,1.0,True,True,시장회복 관찰대상
A61202008,쌍용예가,남구,용호동,773.0,2013-06-05,13,777.0,1.0051746442432083,14.0,21.0,36.0,3,35.1127684985524,129.109271458577,부산광역시 남구 용호로216번가길 10,True,0.04657179818887452,360500000.0,14007467.010130856,-0.0636363636363636,-0.06075949367088607,0.00911458333333326,535000000.0,-0.3457943925233645,320000000.0,0.09375,4.0,False,15.0,True,True,시장회복 관찰대상
A61206103,센텀SD,해운대구,반여동,296.0,1993-04-06,33,171.0,0.5777027027027027,1.0,9.0,11.0,2,35.2110224792036,129.119601272797,부산광역시 해운대구 삼어로 149,True,0.037162162162162164,172500000.0,6934124.296538115,-0.0057636887608069065,-0.05464480874316935,-0.14320987654320982,285000000.0,-0.39473684210526316,150000000.0,0.1499999999999999,8.0,False,2.0,True,True,시장회복 관찰대상
A61271919,아시아선수촌아파트,해운대구,반여동,2290.0,2002-06-24,24,2919.0,1.2746724890829695,16.0,42.0,77.0,5,35.203871411036,129.121681336433,부산광역시 해운대구 선수촌로 122,True,0.033624454148471615,452500000.0,17609080.188679248,-0.016304347826086918,-0.011815252416756183,0.0038043478260869623,672500000.0,-0.35315985130111527,339000000.0,0.2831858407079646,17.0,False,35.0,True,True,시장회복 관찰대상
A61273903,현대일성2,해운대구,반여동,298.0,1994-05-06,32,246.0,0.825503355704698,3.0,5.0,9.0,3,35.1970218886579,129.133570864271,부산광역시 해운대구 재반로226번길 72,True,0.030201342281879196,146750000.0,5698693.810308307,0.07116788321167888,-0.19148936170212771,-0.07078313253012047,210000000.0,-0.24523809523809526,124000000.0,0.278225806451613,4.0,False,4.0,True,True,시장회복 관찰대상
A61275702,대림3,해운대구,좌동,477.0,1997-10-15,28,486.0,1.0188679245283019,1.0,9.0,17.0,4,35.1763812212529,129.167901824054,부산광역시 해운대구 좌동순환로99번길 6,True,0.03563941299790356,560000000.0,21747828.747616917,0.11332007952286283,-0.01642512077294689,0.04948453608247427,670000000.0,-0.16417910447761197,360000000.0,0.5555555555555556,3.0,False,8.0,True,True,시장회복 관찰대상
A61279801,대우금사,해운대구,반여동,466.0,1995-08-31,31,412.0,0.8841201716738197,4.0,8.0,11.0,3,35.2137591182302,129.117534437521,부산광역시 해운대구 삼어로 207,True,0.023605150214592276,215250000.0,8357747.970349453,0.012941176470588234,-0.109375,-0.21818181818181814,355000000.0,-0.4014084507042254,208500000.0,0.01918465227817756,5.0,False,3.0,True,True,시장회복 관찰대상
A61279803,우신,해운대구,반여동,424.0,2001-01-22,25,422.0,0.9952830188679245,3.0,9.0,12.0,2,35.2129483160463,129.117809842382,부산광역시 해운대구 삼어로 181,True,0.02830188679245283,205000000.0,7961165.04854369,-0.055299539170506895,-0.06818181818181823,-0.11458333333333337,320000000.0,-0.359375,192000000.0,0.06770833333333326,3.0,False,3.0,True,True,시장회복 관찰대상
A61282304,센텀현대,해운대구,우동,498.0,1999-12-06,26,511.0,1.0261044176706828,6.0,21.0,36.0,3,35.1699585754124,129.14185288399,부산광역시 해운대구 해운대로469번길 190,True,0.07228915662650602,480000000.0,18652849.740932643,0.0786516853932584,0.015340909090909127,0.047337278106508895,695000000.0,-0.3093525179856115,342500000.0,0.4014598540145986,13.0,False,15.0,True,True,시장회복 관찰대상
A61286810,반도보라빌,해운대구,우동,548.0,2006-03-24,20,608.0,1.1094890510948905,7.0,15.0,24.0,3,35.1624138157013,129.147958676759,부산광역시 해운대구 해운대로 495,True,0.043795620437956206,652500000.0,25360010.270023897,0.060975609756097615,-0.06666666666666665,0.03149606299212593,847500000.0,-0.18584070796460173,500000000.0,0.3799999999999999,11.0,False,9.0,True,True,시장회복 관찰대상
A61287317,센텀파미르,해운대구,재송동,373.0,2009-06-19,17,368.0,0.9865951742627346,4.0,9.0,14.0,2,35.1941914731661,129.125591411416,부산광역시 해운대구 해운대로61번길 56,True,0.03753351206434316,280000000.0,10988279.16888652,0.018181818181818077,0.0,-0.04518329070758742,420000000.0,-0.33333333333333337,255000000.0,0.0980392156862746,7.0,False,5.0,True,True,시장회복 관찰대상
A61310007,쌍용예가디오션,수영구,광안동,928.0,2014-11-28,11,1129.0,1.2165948275862069,8.0,17.0,31.0,3,35.1560597268621,129.114667093976,부산광역시 수영구 광안로 20,True,0.0334051724137931,1100000000.0,42711057.928196006,0.05263157894736836,0.061881188118811936,0.03980099502487566,1300000000.0,-0.15384615384615385,670000000.0,0.6417910447761195,14.0,False,14.0,True,True,시장회복 관찰대상
A61375202,광원,수영구,광안동,589.0,1995-11-28,30,513.0,0.8709677419354839,6.0,13.0,21.0,3,35.1614978181642,129.107336656838,부산광역시 수영구 광일로 63,True,0.035653650254668934,377500000.0,14657606.777267914,0.014784946236559238,0.11029411764705888,0.02961918194640334,455000000.0,-0.1428571428571429,268000000.0,0.455223880597015,7.0,False,8.0,True,True,시장회복 관찰대상
A61376903,진로비치(101~103동),수영구,민락동,499.0,1997-05-24,29,482.0,0.9659318637274549,2.0,8.0,14.0,3,35.156903754398,129.127595982583,부산광역시 수영구 광안해변로 314,True,0.028056112224448898,430000000.0,16721659.203393824,0.1053984575835476,-0.012499999999999956,-0.1542553191489362,515000000.0,-0.16504854368932043,279000000.0,0.5412186379928314,3.0,False,6.0,True,True,시장회복 관찰대상
A61377204,롯데캐슬자이언트,수영구,민락동,591.0,2003-11-29,22,1039.0,1.758037225042301,6.0,8.0,14.0,2,35.1582247902295,129.132568315554,부산광역시 수영구 광안해변로 386,True,0.023688663282571912,575000000.0,22339482.43039441,0.02678571428571419,-0.05100334448160537,-0.06326034063260344,790000000.0,-0.2721518987341772,420000000.0,0.36904761904761907,3.0,False,6.0,True,True,시장회복 관찰대상
A61380903,협성엠파이어106동,수영구,광안동,369.0,2005-04-29,21,403.0,1.0921409214092141,3.0,8.0,15.0,4,35.1583053997881,129.110834220008,부산광역시 수영구 장대골로19번길 20,True,0.04065040650406504,576000000.0,22365773.588901833,0.008315098468271387,-0.026001705029838007,0.055253623188405765,795000000.0,-0.30314465408805036,453000000.0,0.22295805739514352,8.0,False,7.0,True,True,시장회복 관찰대상
A61381602,남천동원로얄듀크,수영구,남천동,422.0,2000-05-04,26,716.0,1.6966824644549763,10.0,14.0,24.0,4,35.1422136267472,129.103289894918,부산광역시 수영구 황령대로 431,True,0.05687203791469194,502500000.0,19527202.07253886,0.015151515151515138,0.046875,0.03703703703703698,690000000.0,-0.2536231884057971,377000000.0,0.36604774535809015,6.0,False,10.0,True,True,시장회복 관찰대상
A61478901,연지자이2차,부산진구,연지동,1011.0,2011-12-02,14,1282.0,1.268051434223541,13.0,36.0,66.0,5,35.1738340168288,129.048361881117,부산광역시 부산진구 초연로 11,True,0.06528189910979229,482500000.0,18749668.811785005,0.005208333333333259,0.06666666666666665,0.027472527472527375,640000000.0,-0.234375,399000000.0,0.22807017543859653,19.0,False,30.0,True,True,시장회복 관찰대상
A61479104,현대2차,부산진구,양정동,1901.0,1998-07-15,28,1982.0,1.0426091530773278,14.0,44.0,82.0,3,35.1707552940831,129.066457433194,부산광역시 부산진구 거제대로 37,True,0.04313519200420831,397500000.0,15434168.725732438,0.046052631578947345,0.09116022099447507,0.0202090592334494,560000000.0,-0.2857142857142857,282500000.0,0.415929203539823,16.0,False,38.0,True,True,시장회복 관찰대상
A61609002,구포동원로얄듀크비스타,북구,구포동,1079.0,2014-07-17,12,1274.0,1.180722891566265,9.0,22.0,40.0,3,35.208073180857,128.99889746397,부산광역시 북구 낙동대로1738번길 10,True,0.03707136237256719,446000000.0,17317783.431042835,-0.015452538631346546,-0.013071895424836555,0.025352112676056304,597000000.0,-0.23785594639865992,340000000.0,0.33823529411764697,11.0,False,18.0,True,True,시장회복 관찰대상
A61609206,구포유림노르웨이숲2차,북구,구포동,1176.0,2005-06-15,21,1223.0,1.0399659863945578,12.0,25.0,47.0,4,35.1962431039498,129.002991484837,부산광역시 북구 낙동북로 737,True,0.039965986394557826,238250000.0,9258975.751016606,0.11592505854800939,-0.11478599221789887,-0.03137651821862353,267000000.0,-0.1460674157303371,182000000.0,0.25274725274725274,4.0,False,22.0,True,True,시장회복 관찰대상
A61610003,롯데,북구,덕천동,705.0,2004-12-06,21,712.0,1.0099290780141843,5.0,17.0,30.0,3,35.2095334334768,129.021080144507,부산광역시 북구 함박봉로 26,True,0.0425531914893617,211500000.0,8235359.361135758,0.0071428571428571175,0.050000000000000044,-0.05437352245862881,320000000.0,-0.303125,188000000.0,0.18617021276595747,13.0,False,13.0,True,True,시장회복 관찰대상
