단지 식별자,단지명,구군,총세대수,확인 세대수,산정 대상 세대수,보완 사유
A10024328,동대신역비스타동원아파트,서구,503,0,0,평형별 세대수 보완 필요
A10024875,동대신동 브라운스톤하이포레아파트,서구,554,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10026034,대신푸르지오아파트,서구,959,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10023704,대신해모로센트럴아파트,서구,733,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10024535,대신2차푸르지오,서구,815,0,0,평형별 세대수 보완 필요
A10028182,대신롯데캐슬아파트,서구,753,0,0,평형별 세대수 보완 필요
A60275104,남성한빛아파트,서구,564,0,0,평형별 세대수 보완 필요
A60270501,부민e-편한세상아파트,서구,613,0,0,평형별 세대수 보완 필요
A10022985,경동포레스트힐 행복주택 아미,서구,767,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60275201,남부민풀리페,서구,782,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10022434,e편한세상 송도 더퍼스트비치,서구,1302,0,0,평형별 세대수 보완 필요
A10023790,힐스테이트이진베이시티,서구,1368,0,0,평형별 세대수 보완 필요
A10024998,범양레우스 센트럴베이,동구,856,0,0,평형별 세대수 보완 필요
A10025359,e편한세상부산항,동구,752,0,0,평형별 세대수 보완 필요
A10025380,협성휴포레부산진역오션뷰아파트,동구,788,0,0,평형별 세대수 보완 필요
A10023963,부산항일동미라주더오션아파트,동구,546,0,0,평형별 세대수 보완 필요
A10023208,두산위브더제니스 하버시티,동구,2040,0,0,평형별 세대수 보완 필요
A10026746,오션브릿지,동구,652,0,0,평형별 세대수 보완 필요
A60106001,한성기린프라자,동구,547,0,0,평형별 세대수 보완 필요
A60106002,두산위브포세이돈Ⅱ,동구,690,0,0,평형별 세대수 보완 필요
A60681702,영선동반도보라아파트,영도구,868,0,0,평형별 세대수 보완 필요
A60675801,미광마린타워아파트,영도구,676,0,0,평형별 세대수 보완 필요
A10024303,영도 센트럴 에일린의뜰,영도구,1216,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60607003,신영도롯데낙천대,영도구,528,0,0,평형별 세대수 보완 필요
A60607004,청학영도신도브래뉴,영도구,508,0,0,평형별 세대수 보완 필요
A10022267,오션라이프에일린의 뜰,영도구,1228,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10023837,부산오션시티푸르지오,영도구,846,0,0,평형별 세대수 보완 필요
A60608002,조양비취맨션,영도구,630,0,0,평형별 세대수 보완 필요
A60608303,동삼그린힐,영도구,2088,0,0,평형별 세대수 보완 필요
A60670101,도시공사동삼2지구영구임대아파트,영도구,1120,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60675110,함지그린,영도구,1000,0,0,평형별 세대수 보완 필요
A60676104,부산동삼1,영도구,976,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60676205,부산동삼2주공,영도구,1968,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60680909,국제마마뉴비치,영도구,522,0,0,평형별 세대수 보완 필요
A60680912,절영아파트,영도구,1340,0,0,평형별 세대수 보완 필요
A10020870,양정자이더샵SKVIEW,부산진구,2276,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10023040,양정 포레힐즈 스위첸,부산진구,1338,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61475403,양정현대1차아파트,부산진구,1733,0,0,평형별 세대수 보완 필요
A61479104,양정현대2차아파트,부산진구,1901,0,0,평형별 세대수 보완 필요
A61479902,대원칸타빌멤버스,부산진구,840,0,0,평형별 세대수 보완 필요
A10023625,e편한세상 시민공원 아파트,부산진구,1401,0,0,평형별 세대수 보완 필요
A10024602,서면아이파크아파트,부산진구,2144,0,0,평형별 세대수 보완 필요
A10025901,부산전포동 사랑으로 부영아파트,부산진구,500,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10027340,전포LH아파트,부산진구,794,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61404006,서면한신,부산진구,705,0,0,평형별 세대수 보완 필요
A61404007,서면롯데캐슬스카이,부산진구,1395,0,0,평형별 세대수 보완 필요
A61404203,서면대우디오빌2,부산진구,751,0,0,평형별 세대수 보완 필요
A61477302,서면유림노르웨이아침,부산진구,512,0,0,평형별 세대수 보완 필요
A61486301,한라비발디,부산진구,511,0,0,평형별 세대수 보완 필요
A61403001,서면센트럴스타,부산진구,1360,0,0,평형별 세대수 보완 필요
A61473002,네오스포아파트,부산진구,782,0,0,평형별 세대수 보완 필요
A10023750,e편한세상 서면 더센트럴,부산진구,998,0,0,평형별 세대수 보완 필요
A10027052,서면DS·협성엘리시안아파트,부산진구,630,0,0,평형별 세대수 보완 필요
A61402003,서면베르빌2,부산진구,606,0,0,평형별 세대수 보완 필요
A61476002,범천경남아파트,부산진구,950,0,0,평형별 세대수 보완 필요
A61476004,범천LH,부산진구,533,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61483202,서면e-편한세상,부산진구,623,0,0,평형별 세대수 보완 필요
A10025540,삼한골든뷰센트럴파크,부산진구,1272,0,0,평형별 세대수 보완 필요
A10023616,래미안 어반파크,부산진구,2616,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61478807,화인연지아파트,부산진구,654,0,0,평형별 세대수 보완 필요
A61478901,연지자이2차,부산진구,1011,0,0,평형별 세대수 보완 필요
A61485906,연지2차청구아파트,부산진구,554,0,0,평형별 세대수 보완 필요
A61486005,연지자이1차아파트,부산진구,547,0,0,평형별 세대수 보완 필요
A61486008,세동한신아파트,부산진구,789,0,0,평형별 세대수 보완 필요
A10022574,초읍하늘채포레스원아파트,부산진구,756,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10024953,포레나부산초읍,부산진구,1113,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10020721,백양산서희스타힐스(백양산서희스타힐스),부산진구,1295,0,0,평형별 세대수 보완 필요
A10022844,롯데캐슬라센트,부산진구,2195,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10026861,서면동일파크스위트3차아파트,부산진구,727,0,0,평형별 세대수 보완 필요
A10028147,서면동일파크스위트1차아파트,부산진구,751,0,0,평형별 세대수 보완 필요
A61409002,서면쌍용스윗닷홈스카이,부산진구,544,0,0,평형별 세대수 보완 필요
A61409003,일성in4아파트,부산진구,546,0,0,평형별 세대수 보완 필요
A61409004,타워베르빌,부산진구,704,0,0,평형별 세대수 보완 필요
A61409005,서면동문굿모닝힐,부산진구,559,0,0,평형별 세대수 보완 필요
A61409302,당감뜨란채아파트,부산진구,630,0,0,평형별 세대수 보완 필요
A61479403,백양산쌍용스윗닷홈아파트,부산진구,718,0,0,평형별 세대수 보완 필요
A61484004,협성피닉스아파트,부산진구,774,0,0,평형별 세대수 보완 필요
A61484005,화승삼성아파트,부산진구,1811,0,0,평형별 세대수 보완 필요
A10023021,서면 비스타동원,부산진구,806,0,0,평형별 세대수 보완 필요
A10025434,서면2차 봄여름가을겨울아파트,부산진구,535,0,0,평형별 세대수 보완 필요
A61410304,서면삼익아파트,부산진구,1074,0,0,평형별 세대수 보완 필요
A61475202,태화현대1차아파트,부산진구,668,0,0,평형별 세대수 보완 필요
A61475903,태화현대2차아파트,부산진구,820,0,0,평형별 세대수 보완 필요
A61477806,국제백양아파트,부산진구,1153,0,0,평형별 세대수 보완 필요
A61479605,당감동일스위트아파트,부산진구,1090,0,0,평형별 세대수 보완 필요
A61482207,개금주공3단지아파트,부산진구,2716,0,0,평형별 세대수 보완 필요
A61482302,백양뜨란채아파트,부산진구,851,0,0,평형별 세대수 보완 필요
A61482303,백양푸른채,부산진구,1116,0,0,평형별 세대수 보완 필요
A10020213,가야역롯데캐슬스카이엘아파트,부산진구,725,0,0,평형별 세대수 보완 필요
A10023627,가야롯데캐슬 골드아너,부산진구,935,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61476403,가야벽산아파트,부산진구,1772,0,0,평형별 세대수 보완 필요
A61479502,가야반도보라빌,부산진구,1048,0,0,평형별 세대수 보완 필요
A10023409,이진젠시티,부산진구,736,0,0,평형별 세대수 보완 필요
A10026363,금강펜테리움 더 스퀘어,부산진구,620,0,0,평형별 세대수 보완 필요
A61475512,개금주공2단지,부산진구,2544,0,0,평형별 세대수 보완 필요
A61477009,개금우드빌,부산진구,980,0,0,평형별 세대수 보완 필요
A61477105,개금아이파크,부산진구,1424,0,0,평형별 세대수 보완 필요
A61477403,개금시영아파트,부산진구,633,0,0,평형별 세대수 보완 필요
A61480908,동원화인패밀리타운,부산진구,894,0,0,평형별 세대수 보완 필요
A61480910,개금2지구도개공임대아파트,부산진구,990,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A61481111,신개금LG아파트,부산진구,2510,0,0,평형별 세대수 보완 필요
A10025342,e편한세상동래명장,동래구,1384,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10026360,동래동일스위트,동래구,702,0,0,평형별 세대수 보완 필요
A10027972,안락경동리인아파트,동래구,693,0,0,평형별 세대수 보완 필요
A60710004,안락뜨란채2단지아파트,동래구,1420,0,0,평형별 세대수 보완 필요
A60777205,안락1차SK아파트,동래구,1898,0,0,평형별 세대수 보완 필요
A60777206,부산안락4휴먼시아,동래구,619,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60777604,안락현대아파트,동래구,738,0,0,평형별 세대수 보완 필요
A60778502,강변뜨란채,동래구,814,0,0,평형별 세대수 보완 필요
A60782701,동래화목타운,동래구,793,0,0,평형별 세대수 보완 필요
A10025662,포레나동래아파트,동래구,732,0,0,평형별 세대수 보완 필요
A60775407,동원로얄듀크,동래구,632,0,0,평형별 세대수 보완 필요
A60775605,동래우성아파트,동래구,531,0,0,평형별 세대수 보완 필요
A60776006,동래한양아파트,동래구,552,0,0,평형별 세대수 보완 필요
A60780104,중앙하이츠2차아파트,동래구,511,0,0,평형별 세대수 보완 필요
A60780108,낙민한일유앤아이,동래구,935,0,0,평형별 세대수 보완 필요
A60702002,우성베스토피아아파트,동래구,744,0,0,평형별 세대수 보완 필요
A10023781,힐스테이트 명륜 트라디움,동래구,874,0,0,평형별 세대수 보완 필요
A10025687,명륜자이,동래구,671,0,0,평형별 세대수 보완 필요
A10027690,명륜2차아이파크아파트,동래구,2058,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A60701003,동래센트럴파크하이츠2단지,동래구,680,0,0,평형별 세대수 보완 필요
A60701004,명륜아이파크,동래구,1409,0,0,평형별 세대수 보완 필요
A10022002,래미안포레스티지,동래구,4043,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
A10023417,더샵 동래,동래구,603,0,0,평형별 세대수 보완 필요
A10023975,동래래미안아이파크아파트,동래구,3853,0,0,평형별 세대수 보완 필요; 임대·혼합 또는 분양 범위 미확인
