file,family,size_bytes,rows,columns,schema_id,null_cells,null_counts
data/interim/kapt_clean.parquet,interim,211229,1468,27,572cf5fa0b,1690,"{""kapt_code"":0,""complex_name"":0,""road_address"":11,""legal_address"":0,""dong"":0,""jibun"":3,""households"":0,""buildings"":0,""approval_date"":0,""parking_total"":51,""parking_ground"":53,""parking_underground"":53,""heating"":0,""mixed_use"":1468,""latitude"":0,""longitude"":0,""sigungu"":0,""complex_name_normalized"":0,""apartment_age"":0,""parking_per_household"":51,""households_per_building"":0,""is_500plus"":0,""is_1000plus"":0,""is_under_10years"":0,""is_over_20years"":0,""is_over_30years"":0,""age_group"":0}"
data/interim/kapt_coordinates.parquet,interim,131494,1468,8,50d2c5cafa,11,"{""kapt_code"":0,""road_address"":11,""legal_address"":0,""latitude"":0,""longitude"":0,""geocode_status"":0,""geocode_query"":0,""geocoded_at"":0}"
data/interim/rent_clean.parquet,interim,9355418,420419,34,a6483d6012,775147,"{""deposit"":0,""monthly_rent"":0,""area_sqm"":0,""floor"":0,""deal_year"":0,""deal_month"":0,""deal_day"":0,""build_year"":0,""dong"":0,""complex_name"":0,""jibun"":0,""road_name"":0,""road_main"":83,""road_sub"":83,""contract_term"":0,""contract_type"":0,""renewal_right_used"":0,""previous_deposit"":0,""previous_monthly_rent"":0,""sigungu"":0,""lawd_cd"":0,""deposit_krw"":0,""monthly_rent_krw"":0,""previous_deposit_krw"":368918,""previous_monthly_rent_krw"":406063,""deal_date"":0,""complex_name_normalized"":0,""rent_type"":0,""area_group"":0,""area_label"":0,""year"":0,""month"":0,""year_month"":0,""provisional"":0}"
data/interim/rent_matched.parquet,interim,10887316,420419,38,796320e3bc,827202,"{""deposit"":0,""monthly_rent"":0,""area_sqm"":0,""floor"":0,""deal_year"":0,""deal_month"":0,""deal_day"":0,""build_year"":0,""dong"":0,""complex_name"":0,""jibun"":0,""road_name"":0,""road_main"":83,""road_sub"":83,""contract_term"":0,""contract_type"":0,""renewal_right_used"":0,""previous_deposit"":0,""previous_monthly_rent"":0,""sigungu"":0,""lawd_cd"":0,""deposit_krw"":0,""monthly_rent_krw"":0,""previous_deposit_krw"":368918,""previous_monthly_rent_krw"":406063,""deal_date"":0,""complex_name_normalized"":0,""rent_type"":0,""area_group"":0,""area_label"":0,""year"":0,""month"":0,""year_month"":0,""provisional"":0,""kapt_code"":52055,""internal_complex_id"":0,""match_method"":0,""match_score"":0}"
data/interim/trade_clean_all.parquet,interim,8003520,239139,30,cc075481a9,239289,"{""deal_amount"":0,""area_sqm"":0,""floor"":0,""deal_year"":0,""deal_month"":0,""deal_day"":0,""build_year"":0,""dong"":0,""complex_name"":0,""jibun"":0,""road_name"":0,""road_main"":75,""road_sub"":75,""cancel_date"":0,""cancel_yn"":0,""sigungu"":239139,""lawd_cd"":0,""deal_amount_krw"":0,""deal_date"":0,""complex_name_normalized"":0,""is_cancelled"":0,""price_per_sqm"":0,""price_per_3_3sqm"":0,""apartment_age_at_deal"":0,""area_group"":0,""area_label"":0,""year"":0,""month"":0,""year_month"":0,""provisional"":0}"
data/interim/trade_matched.parquet,interim,8241016,223932,34,e8157b20be,32828,"{""deal_amount"":0,""area_sqm"":0,""floor"":0,""deal_year"":0,""deal_month"":0,""deal_day"":0,""build_year"":0,""dong"":0,""complex_name"":0,""jibun"":0,""road_name"":0,""road_main"":72,""road_sub"":72,""cancel_date"":0,""cancel_yn"":0,""sigungu"":0,""lawd_cd"":0,""deal_amount_krw"":0,""deal_date"":0,""complex_name_normalized"":0,""is_cancelled"":0,""price_per_sqm"":0,""price_per_3_3sqm"":0,""apartment_age_at_deal"":0,""area_group"":0,""area_label"":0,""year"":0,""month"":0,""year_month"":0,""provisional"":0,""kapt_code"":32684,""internal_complex_id"":0,""match_method"":0,""match_score"":0}"
data/processed/busan_apartment_monthly.parquet,processed,15310903,581334,42,d2c92f2b95,8720697,"{""internal_complex_id"":0,""year_month"":0,""area_group"":0,""transaction_count"":0,""median_price"":464227,""mean_price"":464227,""median_price_per_sqm"":464227,""median_price_per_3_3sqm"":464227,""sigungu"":0,""dong"":0,""complex_name"":0,""provisional"":0,""kapt_code"":321404,""households"":321404,""parking_per_household"":328312,""apartment_age"":321404,""approval_date"":321404,""parking_total"":328312,""road_address"":322304,""latitude"":321404,""longitude"":321404,""buildings"":321404,""transactions_3m"":0,""price_3m"":361516,""return_3m"":450401,""transactions_6m"":0,""price_6m"":280735,""return_6m"":390709,""transactions_12m"":0,""price_12m"":194312,""return_12m"":339882,""price_per_sqm_3m"":361516,""price_per_3_3sqm_3m"":361516,""transaction_yoy"":251638,""turnover_12m"":321404,""rolling_peak"":0,""drawdown_from_peak"":0,""rolling_trough"":0,""recovery_from_trough"":0,""sample_count"":0,""low_sample_flag"":0,""district_relative_turnover"":321404}"
data/processed/busan_apartment_rent_monthly.parquet,processed,4019150,660468,20,aeec3b290b,3449023,"{""internal_complex_id"":0,""year_month"":0,""area_group"":0,""complex_name"":64621,""sigungu"":64621,""dong"":64621,""provisional"":0,""jeonse_count"":0,""median_jeonse_deposit"":557185,""monthly_rent_count"":0,""median_monthly_deposit"":572403,""median_monthly_rent"":572403,""sale_count"":0,""median_sale_price"":543361,""jeonse_count_12m"":0,""monthly_rent_count_12m"":0,""sale_count_12m"":0,""median_jeonse_deposit_12m"":327806,""median_sale_price_12m"":273446,""jeonse_ratio_12m"":408556}"
data/processed/schools/elementary_history.parquet,processed/schools,28253,909,9,bbdc23eb9a,3,"{""school_id"":0,""school_name"":0,""data_year"":0,""total_students"":0,""total_classes"":0,""students_per_class"":0,""transfer_in"":0,""transfer_out"":0,""net_transfer_rate"":3}"
data/processed/schools/middle_history.parquet,processed/schools,25631,509,15,3847982351,0,"{""school_id"":0,""middle_school_name"":0,""year"":0,""graduates"":0,""science_hs_count"":0,""foreign_international_hs_count"":0,""autonomous_private_hs_count"":0,""academic_selective_count"":0,""science_rate"":0,""foreign_international_rate"":0,""autonomous_private_rate"":0,""academic_selective_rate"":0,""eligible_for_scoring"":0,""manual_review"":0,""review_reason"":0}"
data/processed/schools/school_map.parquet,processed/schools,106702,485,62,133fd1a54a,10440,"{""school_id"":0,""school_name"":0,""school_level"":0,""sigungu"":0,""legal_dong_code"":0,""legal_dong"":16,""address"":0,""latitude"":2,""longitude"":2,""closed"":0,""suspended"":0,""school_type"":485,""establishment_type"":0,""gender_type"":2,""score"":13,""score_type"":0,""data_year"":0,""busan_rank"":13,""district_rank"":13,""score_source_name"":0,""coordinate_source"":2,""total_students"":183,""total_classes"":183,""students_per_class"":183,""transfer_in"":183,""transfer_out"":183,""net_transfer_rate"":185,""student_growth_3y"":183,""student_trend_slope"":185,""adjusted_upper_grade_index"":183,""adjusted_cohort_growth"":185,""demand_cluster_name"":185,""demand_score_quality"":183,""observed_years"":183,""first_year"":183,""latest_year"":183,""size_component_score"":183,""mobility_component_score"":185,""growth_component_score"":183,""upper_cohort_component_score"":183,""longitudinal_complete"":183,""manual_review"":302,""review_reason"":302,""graduates"":315,""science_hs_count"":315,""foreign_international_hs_count"":315,""autonomous_private_hs_count"":315,""science_rate"":315,""foreign_international_rate"":315,""autonomous_private_rate"":315,""academic_selective_rate"":315,""latest_observation_year"":315,""available_year_count"":315,""observation_years"":315,""graduates_total"":315,""score_stability"":315,""sample_warning"":302,""score_reference_year"":315,""score_status"":302,""ranking_population"":302,""ranking_coverage"":302,""coordinate_valid"":0}"
